1-qid,two_realRank2,two_realRank,State,MART,RandomFor,ndcg_term_MART,ndcg_term_RandomFor
2014,301,80,Temple University,77,78,0.000528567,0.000527026
2014,305,81,Arizona State University Campus Immersion,78,79,0.000520115,0.000518622
2014,313,82,University of Connecticut,61,74,0.000536578,0.00051292
2014,314,83,University of Arkansas,89,83,0.000490571,0.00049821
2014,316,84,Virginia Polytechnic Institute and State University,79,80,0.000500568,0.000499153
2014,318,85,Washington State University,81,84,0.000494633,0.000490632
2014,328,86,University of Vermont,84,86,0.000475674,0.000473197
2014,334,87,Clark University,85,87,0.000465902,0.00046351
2014,335,88,American University,91,88,0.000457584,0.000460963
2014,338,89,University of South Florida,96,91,0.000448276,0.000453522
2014,346,90,University of Houston,86,89,0.00044858,0.0004452
2014,347,91,West Virginia University,94,90,0.000438647,0.00044283
2014,355,92,Missouri University of Science and Technology,93,92,0.00042976,0.000430774
2014,369,93,Clemson University,98,93,0.000408792,0.000413455
2014,382,94,The University of Montana,103,98,0.000390691,0.00039488
2014,385,95,Florida Institute of Technology,99,99,0.000390948,0.000390948
2014,386,96,Michigan Technological University,92,95,0.000396178,0.000393423
2014,389,97,Texas Tech University,97,97,0.000388633,0.000388633
2014,390,98,Villanova University,95,100,0.000389388,0.000385104
2014,407,99,George Mason University,88,96,0.000379417,0.000372278
2014,429,100,North Dakota State University-Main Campus,100,101,0.000350094,0.000349349
2014,430,101,University of Akron Main Campus,110,103,0.000342278,0.000347079
2014,438,102,University of Idaho,108,104,0.000337329,0.000340039
2014,439,103,University of Georgia,87,94,0.000352648,0.000346721
2014,448,104,New Jersey Institute of Technology,109,106,0.000329159,0.000331106
2014,454,105,University of South Dakota,104,105,0.000328055,0.000327388
2014,466,106,Mississippi State University,106,107,0.000318317,0.000317684
2014,467,107,Florida International University,112,109,0.000313969,0.000315767
2014,474,108,SUNY at Albany,101,102,0.000316183,0.000315517
2014,475,109,Hofstra University,102,108,0.000314853,0.000311053
2014,476,110,New Mexico State University-Main Campus,111,110,0.000308613,0.000309201
2014,477,111,SUNY Polytechnic Institute,113,112,0.000306815,0.000307387
2014,483,112,Binghamton University,107,111,0.000306503,0.000304141
2014,492,113,Old Dominion University,117,114,0.000295311,0.000296914
2014,510,114,University of Wyoming,105,113,0.00029144,0.000286963
2014,520,115,San Diego State University,122,117,0.000277,0.00027941
2014,534,116,Kent State University at Kent,118,118,0.000271604,0.000271604
2014,539,117,East Carolina University,119,116,0.000268614,0.000270042
2014,557,118,University of Central Florida,114,121,0.000262265,0.000259039
2014,558,119,University of North Texas,120,120,0.000259019,0.000259019
2014,570,120,Miami University-Oxford,116,115,0.000255356,0.000255817
2014,596,121,The University of Texas at San Antonio,121,122,0.000242089,0.000241678
2014,598,122,Auburn University,115,119,0.000243839,0.000242112
2014,604,123,Oakland University,123,123,0.000238076,0.000238076
2014,633,124,Portland State University,124,124,0.000226791,0.000226791
2014,655,125,California State University-Long Beach,127,127,0.000218103,0.000218103
2014,666,126,Humboldt State University,126,125,0.000214848,0.000215199
2014,668,127,University of Northern Colorado,125,126,0.000214554,0.000214204
2015,1,1,Harvard University,1,1,1,1
2015,2,2,Stanford University,1,4,0.5,0.215338279
2015,3,3,University of Chicago,1,3,0.333333333,0.166666667
2015,6,4,Massachusetts Institute of Technology,1,5,0.166666667,0.064475468
2015,7,5,Columbia University in the City of New York,8,2,0.045066411,0.090132822
2015,11,6,Yale University,1,8,0.090909091,0.028678625
2015,13,7,Washington University in St Louis,12,9,0.02078755,0.023156154
2015,17,8,University of Pennsylvania,18,6,0.013847583,0.020953364
2015,18,9,Boston University,27,18,0.011556367,0.013078273
2015,20,10,Northwestern University,7,7,0.016666667,0.016666667
2015,21,11,Duke University,6,10,0.016962247,0.013764992
2015,23,12,Johns Hopkins University,9,12,0.013088261,0.011749485
2015,25,13,University of California-Los Angeles,15,14,0.01,0.010238321
2015,26,14,Cornell University,11,13,0.010728575,0.010101905
2015,28,15,University of Michigan-Ann Arbor,17,22,0.008564731,0.007895169
2015,30,16,Brown University,21,15,0.007474794,0.008333333
2015,31,17,Tufts University,14,23,0.00825671,0.007035622
2015,32,18,Carnegie Mellon University,20,24,0.007114695,0.006729321
2015,33,19,Case Western Reserve University,10,21,0.00875954,0.006795267
2015,35,20,University of Wisconsin-Madison,34,28,0.005570258,0.005881338
2015,38,21,University of California-Berkeley,25,19,0.00559858,0.0060889
2015,39,22,Rice University,29,11,0.005225514,0.007152383
2015,42,23,University of California-Davis,37,32,0.004536938,0.004719997
2015,48,24,University of Southern California,19,16,0.004820379,0.005096886
2015,52,25,New York University,22,25,0.004251245,0.00409127
2015,54,26,University of Pittsburgh-Pittsburgh Campus,40,33,0.003456526,0.00364003
2015,59,27,Vanderbilt University,23,20,0.003696683,0.003858818
2015,60,28,University of California-San Diego,43,36,0.003052821,0.003199312
2015,61,29,University of Virginia-Main Campus,30,30,0.003309001,0.003309001
2015,67,30,University of Rochester,26,42,0.003138954,0.00275058
2015,71,31,Emory University,16,17,0.003445782,0.00337764
2015,74,32,Georgia Institute of Technology-Main Campus,28,29,0.002781714,0.002753987
2015,75,33,University of Notre Dame,52,44,0.002327779,0.002427839
2015,76,34,University of Minnesota-Twin Cities,38,34,0.002489478,0.00256525
2015,80,35,University of Miami,45,48,0.002263032,0.002226295
2015,81,36,Yeshiva University,55,62,0.00212587,0.002065434
2015,83,37,University of Washington-Seattle Campus,13,26,0.003164452,0.002533854
2015,84,38,University of Illinois Chicago,48,52,0.002120281,0.002078374
2015,85,39,Ohio State University-Main Campus,42,38,0.002168104,0.002225887
2015,97,40,University of Florida,35,40,0.001994087,0.001924252
2015,104,41,Georgetown University,36,27,0.001845757,0.00200014
2015,105,42,The University of Texas at Austin,33,35,0.001872016,0.001842156
2015,106,43,Michigan State University,39,43,0.001772659,0.001728012
2015,111,44,University of Arizona,59,59,0.001525169,0.001525169
2015,116,45,University of Illinois Urbana-Champaign,32,37,0.001708964,0.001642685
2015,124,46,George Washington University,31,39,0.001612903,0.001515337
